"species","thr10","thr_min"
"Copaifera_trapezifolia",0.227161171355365,0.118562040037069
"Cordia_americana",0.268228973162959,0.00171275979336089
"Cordia_ecalyculata",0.305480530998303,0.0524882314600791
"Cordia_sellowiana",0.325177901371231,0.0162834125767907
"Cordia_silvestris",0.259769847022612,0.0148444740637526
"Cordia_trichotoma",0.436532024733785,0.0863281086645504
"Cordiera_concolor",0.35414906691389,0.127837058750728
"Cordyline_spectabilis",0.38362935158712,0.0863947099876088
"Coussapoa_microcarpa",0.224139115327532,0.00885616263812233
"Coussarea_contracta",0.355958092242169,0.146186120066748
"Coutarea_hexandra",0.41756884208466,0.123172227399742
"Critoniopsis_quinqueflora",0.271418706018558,0.0096768524017633
"Croton_celtidifolius",0.236365198434144,0.00614574638475079
"Croton_macrobothrys",0.198095789826115,0.0278592149445032
"Croton_urucurana",0.491373342276901,0.0232280572777244
"Cryptocarya_aschersoniana",0.336944904881345,0.051752607419324
"Cryptocarya_mandioccana",0.21522313066692,0.0640288167227934
"Cupania_oblongifolia",0.163585740072288,0.0107191083132061
"Cupania_vernalis",0.38919323595713,0.0195242367637321
"Curitiba_prismatica",0.444477546383899,0.162089317845098
"Cyathea_atrovirens",0.222434688967057,0.0121406693618211
"Cyathea_corcovadensis",0.239827189327415,0.00714964841106419
"Cyathea_delgadii",0.197877384601273,0.0030584757763783
"Cyathea_hirsuta",0.162271893139169,0.00915220835300487
"Cyathea_phalerata",0.366148583281687,0.0757388991774494
"Cybianthus_peruvianus",0.270296238745624,0.011671336382261
"Cybistax_antisyphilitica",0.381128052404918,5.68811938992386e-05
"Cyclolobium_brasiliense",0.350236725587554,0.18076154972946
"Dahlstedtia_muehlbergiana",0.431682848154653,0.193907831422233
"Dahlstedtia_pentaphylla",0.174446652561766,0.00774117120734083
"Dalbergia_brasiliensis",0.340261265487583,0.0417721200151485
"Dalbergia_frutescens",0.39417495437642,0.0252221419156145
"Daphnopsis_fasciculata",0.284308060071387,0.0399626047098673
"Daphnopsis_pseudosalix",0.63983607264344,0.612872180553347
"Dasyphyllum_brasiliense",0.44946418439047,0.215779379120488
"Dasyphyllum_spinescens",0.164873048561321,0.0404340375418989
"Dendropanax_australis",0.309864800571054,0.169824761950586
"Diatenopteryx_sorbifolia",0.339831306492937,0.00615030665187938
"Dicksonia_sellowiana",0.282987250765773,0.00371863396183073
"Didymopanax_angustissimus",0.236233422220384,0.0145182984593891
"Didymopanax_calvus",0.37248516183059,0.104895571435512
"Didymopanax_morototoni",0.431334652838566,0.00400918641687259
"Diospyros_inconstans",0.43770059797234,0.0475165386185082
"Drimys_angustifolia",0.186971432572712,0.0324006843647435
"Drimys_brasiliensis",0.271237248821643,0.055528557598624
"Duguetia_lanceolata",0.476348438795043,0.370623994659763
"Duranta_vestita",0.412797187907655,0.0109636744480183
"Endlicheria_paniculata",0.354447086592837,0.00540236811111172
"Enterolobium_contortisiliquum",0.49947604266613,0.288982773973406
"Erythrina_crista-galli",0.237041946925002,0.00129032306903293
"Erythrina_falcata",0.362962155633532,0.137211346657049
"Erythroxylum_ambiguum",0.190981690471482,0.0848035121580923
"Erythroxylum_argentinum",0.216282579590445,0.0105684230882
"Erythroxylum_cuneifolium",0.441835450902219,0.0765726199446272
"Erythroxylum_deciduum",0.44306249226824,0.0147897704240628
"Erythroxylum_umbu",0.162127461579027,0.0271836502715776
"Erythroxylum_vacciniifolium",0.251172985465257,0.0290269701870765
"Escallonia_bifida",0.275360447013479,0.0398749645163282
"Escallonia_megapotamica",0.417913963040414,0.243962890802588
"Escallonia_petrophila",0.148602259584962,0.083412400895407
"Esenbeckia_grandiflora",0.346987066492771,0.0269688296556844
"Esenbeckia_hieronymi",0.522138893932814,0.508952200388884
"Eugenia_astringens",0.117737241690376,0.0153633368701289
"Eugenia_bacopari",0.478032128418533,0.387993768369967
"Eugenia_beaurepairiana",0.381718680327881,0.256945804527801
"Eugenia_bimarginata",0.376017138658861,0.0662821931164645
"Eugenia_brasiliensis",0.316815089365837,0.049225586448216
"Eugenia_burkartiana",0.337994960809982,0.0952268254308974
